Headline,Description,URL
"UN to take over al-Hol camp for IS families in Syria after unrestA UN spokesman said conditions inside the camp remained ""tense and volatile"" after Kurdish-led forces withdrew.11 hrs agoMiddle East","A UN spokesman said conditions inside the camp remained ""tense and volatile"" after Kurdish-led forces withdrew.",https://www.bbc.com/news/articles/clyzzzd2y7do
1Trump withdraws Canada's invite to  'Board of Peace',,https://www.bbc.com/news/articles/cn7jjp8gl0jo
2Trump's claim Nato troops avoided Afghanistan front line sparks outrage in UK,,https://www.bbc.com/news/articles/czr444j671vo
3Oscars 2026: Nominees list in full,,https://www.bbc.com/news/articles/ckgyyqkn0yvo
4Teens among missing after landslide at  New Zealand campsite,,https://www.bbc.com/news/articles/c14rr5pnd80o
5Could Trump's new Board of Peace sideline the struggling UN?,,https://www.bbc.com/news/articles/cn8jj228g2vo
"6Why so many women end up 'menopause masking' - but it can have consequences, as I discovered",,https://www.bbc.com/news/articles/c23e1n3ge29o
7Dozens of sanctioned Russian tankers navigate Channel despite UK vow of 'assertive' action,,https://www.bbc.com/news/articles/c2d77rr51rko
8A national tragedy 30 years ago united Australia. Why hasn't the Bondi shooting?,,https://www.bbc.com/news/articles/cx2yy4n1vlgo
9Fugitive Australian shooter on bail at time of alleged murders,,https://www.bbc.com/news/articles/c98pp20gj83o
10Japan suspends world's largest nuclear plant hours after restart,,https://www.bbc.com/news/articles/cx2yy8z91n4o
